chr	pos	pvalue	snp_id
1	49451113	0.8444070220518011	chr1:49451113
1	70687676	0.6592563625568839	chr1:70687676
1	124101451	0.9670273016619078	chr1:124101451
1	187187799	0.3492542082527324	chr1:187187799
1	46681475	0.555957399088726	chr1:46681475
1	248162948	0.7921378394218456	chr1:248162948
1	40380482	0.24165202330449423	chr1:40380482
1	149844491	0.9644490749130691	chr1:149844491
1	232235108	0.5964736957668967	chr1:232235108
1	208126855	0.01781858768645666	chr1:208126855
1	161972300	0.03490174287173227	chr1:161972300
1	178873249	0.8833938562375793	chr1:178873249
1	33551406	0.6488287124834667	chr1:33551406
1	2415763	0.7654417938732234	chr1:2415763
1	108537196	0.7861758409473389	chr1:108537196
1	22379731	0.4262551784882687	chr1:22379731
1	89438140	0.8006251336808788	chr1:89438140
1	55935698	0.9381571203644127	chr1:55935698
1	229086680	0.18044939669192542	chr1:229086680
1	220013999	0.7664950355466004	chr1:220013999
1	204735712	0.3147140875394094	chr1:204735712
1	178486074	0.32827807302331535	chr1:178486074
1	38517982	0.41862730252602237	chr1:38517982
1	12091856	0.8650823247090046	chr1:12091856
1	163471964	0.031835506636948674	chr1:163471964
1	160564534	0.4395869447421613	chr1:160564534
1	92356071	0.6832471730735779	chr1:92356071
1	118171666	0.11931130369969675	chr1:118171666
1	122287347	0.7943310610472423	chr1:122287347
1	59982033	0.9424835719183795	chr1:59982033
1	78541652	0.1000254728662088	chr1:78541652
1	104597388	0.16141865645256936	chr1:104597388
1	150794757	0.9743562526967409	chr1:150794757
1	238954801	0.20587708437788418	chr1:238954801
1	134621152	1.3551972156430858e-08	chr1:134621152
1	182790977	0.9526706110319412	chr1:182790977
1	201750275	0.8936964827113743	chr1:201750275
1	28377030	0.6591682180057998	chr1:28377030
1	163281166	0.5559166180146777	chr1:163281166
1	120527680	0.9200403693397426	chr1:120527680
1	143107735	0.6589648743603085	chr1:143107735
1	9604233	0.6618126927219192	chr1:9604233
1	226553934	0.8452487085599334	chr1:226553934
1	238196037	0.6567132205194967	chr1:238196037
1	870480	0.5086401181673007	chr1:870480
1	53197898	0.3958242829194634	chr1:53197898
1	45048543	0.5081025538633284	chr1:45048543
1	195326129	0.5272538625963225	chr1:195326129
1	149520014	0.3672235623070693	chr1:149520014
1	44333415	0.4536372248905426	chr1:44333415
1	203492738	0.803853213534886	chr1:203492738
1	88368717	0.422348234989129	chr1:88368717
1	115214219	0.03530416896907507	chr1:115214219
1	96826651	0.2901891285561107	chr1:96826651
1	130345051	0.2394244454507812	chr1:130345051
1	120035617	0.7956461917136487	chr1:120035617
1	68646000	0.4548001278870907	chr1:68646000
1	106139009	0.2875074376047818	chr1:106139009
1	227084287	0.8125978350032084	chr1:227084287
1	125723534	0.029024636511045893	chr1:125723534
1	229096602	0.18250833430390542	chr1:229096602
1	137531761	0.828685271201842	chr1:137531761
1	192204323	0.5551452103837986	chr1:192204323
1	73397827	0.7759132768336856	chr1:73397827
1	197603372	0.8397942546144568	chr1:197603372
1	66080403	0.9425438537026543	chr1:66080403
1	4887492	0.0727903533103046	chr1:4887492
1	40182235	0.8012423958654873	chr1:40182235
1	5413218	0.7116784867376366	chr1:5413218
1	236765660	0.2149553446697936	chr1:236765660
1	249994255	0.9323852436767218	chr1:249994255
1	190557565	0.4101598615033281	chr1:190557565
1	27032040	0.8887344221802561	chr1:27032040
1	224736365	0.6090625676182762	chr1:224736365
1	185944045	0.531480467075547	chr1:185944045
1	83061128	0.16792869455701961	chr1:83061128
1	125569477	0.9151843480444397	chr1:125569477
1	165439835	0.5610952882886238	chr1:165439835
1	6012618	0.01603148144184927	chr1:6012618
1	125385228	0.02810169565958038	chr1:125385228
1	183098858	0.779856278967867	chr1:183098858
1	47056342	0.17031698984460575	chr1:47056342
1	110947643	0.6027510512718638	chr1:110947643
1	133132532	0.6842711423146405	chr1:133132532
1	183891342	0.28657193701901185	chr1:183891342
1	241113427	0.5736206703272984	chr1:241113427
1	212068887	0.24785615852918397	chr1:212068887
1	155379605	0.946852273094271	chr1:155379605
1	145910168	0.8615684547856753	chr1:145910168
1	150796673	0.2951623635824945	chr1:150796673
1	136294660	0.5335263460408364	chr1:136294660
1	14840720	0.5056265285823667	chr1:14840720
1	174574098	0.9604230253705733	chr1:174574098
1	179084200	0.4000884923820155	chr1:179084200
1	128120090	0.5666052790753512	chr1:128120090
1	217596901	0.9294195289385627	chr1:217596901
1	168109200	0.17118294066479256	chr1:168109200
1	90666164	0.5549807472455547	chr1:90666164
1	4923588	0.11461619115821133	chr1:4923588
1	14790411	0.6213239425003155	chr1:14790411
1	87949565	0.3720263713531346	chr1:87949565
1	115526331	0.9679597124478047	chr1:115526331
1	41717779	0.42125508933704103	chr1:41717779
1	47332076	0.14482576116628976	chr1:47332076
1	57552839	0.8356599613191201	chr1:57552839
1	195128334	0.822658024508685	chr1:195128334
1	192821960	0.6979110233473566	chr1:192821960
1	95734746	0.7513236838653857	chr1:95734746
1	43091095	0.2720680655125128	chr1:43091095
1	27727096	0.6456329654185535	chr1:27727096
1	21782328	0.047639672493339696	chr1:21782328
1	97819812	0.20492124245113422	chr1:97819812
1	11385608	0.9329566530775558	chr1:11385608
1	83408759	0.741842944111832	chr1:83408759
1	240383310	0.23836581557936526	chr1:240383310
1	126876153	0.12026925862409521	chr1:126876153
1	205661164	0.9494302504198165	chr1:205661164
1	32316486	0.12106578939953141	chr1:32316486
1	67019695	0.26449934756677573	chr1:67019695
1	236636611	0.1908076530694626	chr1:236636611
1	95887974	0.017389182207650282	chr1:95887974
1	162101532	0.32099342635706357	chr1:162101532
1	244031694	0.974437082882775	chr1:244031694
1	137696939	0.3484842727512629	chr1:137696939
1	76336487	0.5092618306730959	chr1:76336487
1	132987113	0.7484764260825636	chr1:132987113
1	13659299	0.555569301058424	chr1:13659299
1	28092468	0.7461555923381835	chr1:28092468
1	1792776	0.6650195095086101	chr1:1792776
1	221052510	0.6124773927690246	chr1:221052510
1	167820107	0.6531524181396278	chr1:167820107
1	74582441	0.8011727184574685	chr1:74582441
1	55290354	0.7130894808530931	chr1:55290354
1	170769150	0.7938571714981396	chr1:170769150
1	229883016	0.15414166190069603	chr1:229883016
1	74784772	0.680896995383435	chr1:74784772
1	80389777	0.7396516932022779	chr1:80389777
1	213560181	0.3069667681718662	chr1:213560181
1	223343953	0.8758315545648495	chr1:223343953
1	228509141	0.31166448726967344	chr1:228509141
1	73288552	0.25139379818273233	chr1:73288552
1	30078141	0.868425847325706	chr1:30078141
1	109999392	0.2545496397352624	chr1:109999392
1	73941216	0.42134743780748213	chr1:73941216
1	220966666	0.3742436017364507	chr1:220966666
1	9158735	0.8990812043326897	chr1:9158735
1	158470117	0.46068338090508465	chr1:158470117
1	226545341	0.6973658439632534	chr1:226545341
1	244167591	0.7960985155973906	chr1:244167591
1	162532649	0.6316245449397044	chr1:162532649
1	237480739	0.9442575533416655	chr1:237480739
1	18914865	0.804482453963448	chr1:18914865
1	89819586	0.4062045613981145	chr1:89819586
1	2178674	0.9513037248251064	chr1:2178674
1	245295943	0.5293290849386209	chr1:245295943
1	225681619	0.03235154971544694	chr1:225681619
1	7013139	0.2674131468563678	chr1:7013139
1	4533162	0.6255122911668939	chr1:4533162
1	91742373	0.16524675330119237	chr1:91742373
1	64634491	0.5882273644442716	chr1:64634491
1	211733069	0.3679820420844545	chr1:211733069
1	40121100	0.5390416252576913	chr1:40121100
1	197662365	0.011856099394520344	chr1:197662365
1	138614924	0.8499371411220115	chr1:138614924
1	94347942	0.3683062328977731	chr1:94347942
1	36429940	0.14875684993517352	chr1:36429940
1	249422826	0.4435366984350292	chr1:249422826
1	154496530	0.4913155205539458	chr1:154496530
1	109845558	0.641028683391227	chr1:109845558
1	92781889	0.5293168159487569	chr1:92781889
1	226432057	0.05308834624639201	chr1:226432057
1	205297952	0.8727971988569871	chr1:205297952
1	202796447	0.46194384246909165	chr1:202796447
1	154049618	0.08621789480767883	chr1:154049618
1	221989145	0.7750999541638932	chr1:221989145
1	74819593	0.6635528745952376	chr1:74819593
1	175926533	0.6529433950415295	chr1:175926533
1	101111935	0.43264486171820543	chr1:101111935
1	149999702	0.4163920919947785	chr1:149999702
1	249538250	0.5409752500234694	chr1:249538250
1	246131195	0.06008846877011224	chr1:246131195
1	128154754	0.30596818657574165	chr1:128154754
1	143465863	0.9880152318267498	chr1:143465863
1	224330442	0.6655705642367951	chr1:224330442
1	246408928	0.42474482376314887	chr1:246408928
1	194651950	0.2301394719110485	chr1:194651950
1	16296114	0.7477572682812311	chr1:16296114
1	80659933	0.2676874066091295	chr1:80659933
1	224140584	0.1707464028078324	chr1:224140584
1	192088126	0.1629697512319444	chr1:192088126
1	185558267	0.7319706463730851	chr1:185558267
1	166980807	0.6463821517458302	chr1:166980807
1	103815962	0.0791080383775183	chr1:103815962
1	100810330	0.12389238720858048	chr1:100810330
1	202233121	0.6375083986800413	chr1:202233121
1	73445072	0.5754049408534374	chr1:73445072
